symbol,market_phase,phase_confidence,structure_quality,research_score,structural_events,key_observations,caution_flags
PRVA,Accumulation,Low,Clean,0,,,
PK,Accumulation,Low,Mixed,0,,,
SBLK,Distribution,Low,Mixed,0,,,
HTGC,Accumulation,Low,Mixed,0,,,
FSK,Accumulation,Low,Mixed,0,,,
CXW,Transitional,Medium,Mixed,0,,,
PENN,Distribution,Low,Mixed,0,,,
AKR,Accumulation,High,Clean,0,,,
DX,Accumulation,Low,Noisy,0,,,
KMT,Distribution,Low,Mixed,0,,,
HOG,Distribution,Low,Mixed,0,,,
IVT,Transitional,Medium,Mixed,0,,,
NMRK,Accumulation,Low,Mixed,0,,,
DRH,Transitional,Medium,Mixed,0,,,
WTTR,Distribution,Low,Mixed,0,"PS(Dec26-31,~10.42-10.72)|SC_candidate(Jan2,10.42low,832Kvol)|SOS/JAC(Jan2-5,10.42→11.60,expanding_vol)|Markup_Phase1(Jan–Feb,11.0→13.26)|BC1(Feb17-18,15.425high,3.32Mvol)|AR(Feb20,12.51low,9.75Mvol_climactic)|ST(Feb23-27,",,
DNOW,Accumulation,Low,Mixed,0,,,
WERN,Accumulation,Medium,Mixed,0,,,
PBI,Transitional,Medium,Mixed,0,,,
RAMP,Accumulation,Low,Mixed,0,,,
HE,Accumulation,Low,Mixed,0,,,
SHO,Markup,Low,Mixed,0,,,
PEB,Distribution,Low,Mixed,0,"Preliminary Supply (PSY): ~Jun 15 high 18.51 on 3.24M vol | Buying Climax (BC): Jun 16, high 19.39, vol 6.09M, wide-range up thrust | Automatic Reaction (AR): Jun 17, range 19.60–18.09, close 18.33, vol 6.43M — highest volume bar, bearish reversal candle | Secondary Test (ST): Jun 18, rally to 19.06 on 5.37M vol, failing to sustain BC high — confirms resistance | Prior Sign of Strength (SOS): Feb 26 breakout 13.35 on 5M vol | Last Point of Support (LPS): Mar 12–13 shakeout to 11.56–11.79 | Creek Breakout / Markup: Apr 8 onward sustained advance from 12.50s to",,
BRSL,Accumulation,High,Mixed,0,,,
NWBI,Distribution,Low,Mixed,0,"PS(2026-01-02 low 11.84), SC(2026-01-05 low 11.92 on vol 728K), AR(2026-01-09 high 12.50 vol 857K), ST(2026-01-13 to 2026-01-14 lows 11.93-11.96), SOS/JAC(2026-01-21 to 2026-02-04 surge to 13.59 on expanding vol), LPS-1(2026-02-27 low 12.35 on reduced vol), SPRING-CANDIDATE(2026-03-20 vol-spike 8.83M low 12.02 with recovery), SOS-CONFIRMATION(2026-03-23 to 2026-04-09 rally 11.95→13.75), LPS-2(2026-04-10 to",,
AUPH,Accumulation,Medium,Mixed,0,,,
ARR,Distribution,Low,Clean,0,,,
SEM,Accumulation,Low,Clean,0,"BC (Buying Climax): Feb-17/18 @ 16.53–16.59 on vol 1.02M–1.32M | AR (Automatic Reaction): Feb-19 @ 16.04–16.23 close, vol 1.28M | SC/Shakeout: Feb-20 @ 14.53 low, 3.07M vol — largest single bar, closes 15.01 | ST (Secondary Test): Feb-23 @ 14.68 low, 1.57M vol | SOS Jump: Mar-03 @ opens 16.27, closes 16.26 on 10.67M vol (institutional event) | LPS Zone: Mar-03 through present — price holding 16.20–16.70 with declining volume and ultra-narrow ranges, consistent with Last Point of Supply absorption | Minor SOS signals: May-20/21 (4.5M–5.8M vol, slight upward drift) and Jun-08/09 (breakout attempt to 16.68, moderate vol 1.4M–1.",,
PGNY,Accumulation,Low,Mixed,0,,,
TH,Accumulation,Low,Mixed,0,"SC@6.72(Jan28-30,vol322K-463K); AR@7.28-7.49(Feb2-3,vol371K-377K); ST@7.44-7.49(Feb10-11,vol330K-204K); SPRING@6.38(Feb23,vol301K); SOS@7.65(Feb26,vol679K); JAC@9.08-9.70(Mar11-12,vol965K-1470K); BUEC@9.03-9.28(Mar13-31,diminishing_vol); MARKUP_ACCELERATION@12",,
DEI,Accumulation,Low,Mixed,0,"SC(Feb 11-12 ~10.27/9.53, vol 6.4M/6.2M); AR(Feb 13-20 rally to ~10.46); ST/Secondary Weakness(Feb 23 - Mar 20, grind to 9.25); Spring/Shakeout(Mar 20 low 9.25, vol 5.06M); LPS(Mar 23 - Apr 14, range 9.12-9.86, declining vol); SOS/JAC(Apr 15-16 surge, vol 4.73M; May 6 breakout 11.66-12.53, vol 5.09M); BUEC/LPS-2(May 7-29 pullback to 11.33, declining vol); Markup Continuation(Jun 1-10, high 12.82); Potential UTAD/Early Distribution(Jun 11-18 reversal from 12.82 to 11.54, vol pickup 3.1M)",1) Accumulation base formed Feb-Apr 2026 between approx 9.12-,
SGRY,Accumulation,Medium,Mixed,0,,,
SLDE,Accumulation,Low,Mixed,0,"PS(Jan-14~16.61), SC(Jan-23~15.75), AR(Jan-30~17.23), ST(Jan-26/27~15.72-15.79 declining volume), LPS(Feb-12-20~16.47-16.88), SOS/JOC(Feb-24-25 volume surge 2.67M-6.08M price 16.59→19.49), BUEC(Feb-27-Mar-5~18.92-19.68), SOW(Mar-20 8.67M volume ~15.95-16.37 undercut), Re-accumulation-LPS(Mar-23~16.45), SOS2(Mar-24-Apr-17 recovery to 19.75), UTAD/LPSY(Apr-29 20.17 on 5.35",,
NTST,Distribution,Low,Mixed,0,,,
RLJ,Accumulation,High,Mixed,0,,,
GOF,Markdown,Low,Mixed,0,,,
EFC,Accumulation,Low,Mixed,0,"SC (Selling Climax): 2026-03-20 [11.28 low, 10.73M volume — highest in dataset]; AR (Automatic Rally): 2026-03-24 to 2026-04-02 [rally to ~12.06]; ST (Secondary Test): 2026-03-27 [11.54 low, volume contraction confirms support]; CREEK/RESISTANCE ZONE: 13.40–13.75 [established during Dec–Jan distribution and Jan–Feb AR]; S",,
SFL,Distribution,High,Mixed,0,,,
TRIN,Accumulation,Low,Mixed,0,,,
LEG,Accumulation,Low,Mixed,0,,,
ENR,Transitional,Medium,Mixed,0,,,
ARI,Distribution,Low,Mixed,0,"BC(Buying Climax)=2026-01-28(10.68c,5.34M vol,wide spread gap-up close off highs); AR(Automatic Reaction)=2026-02-12 to 2026-03-13(range compression 10.43-10.92); ST(Secondary Test)=2026-03-09(10.47c,1.80M); SPRING=2026-03-20(10.06 intraday low,3.92M vol,closes 10.06 — undercut with recovery next session); SOS(Sign of Strength)=2026-04-08 to 2026-04-15(10.76 to 11.22,expanding vol 2.22M-1.28M); LPSY(Last Point of Supply)/UTAD=2026-04-15(11.22 high) to 2026-04-28(11.19); SOW(Sign of Weakness)=2026-04-29(10.74c,2.78M vol,wide down bar); SECONDARY_TEST_SUPPLY=2026-06-16 to 2026-06-18(3.62M,3.53M,5.05M — heavy vol, closes deteriorating 10.83,10.72,10.83)","1) Jan 28 climax bar (vol 5.34M, ~7x avg) marked end of prior accumulation and introduced significant supply overhead at 10.68-11.21 zone; 2) Mar 20 Spring (10.06 intraday) successfully undercut range support on high vol with next-session recovery confirming demand absorption; 3) April rally achieved SOS to 11.22-11.24 but failed to sustain above 11.10 with conviction — April 29 reversal on 2.78M confirms supply re-entry; 4) May consolidation (10.82-11.06) shows declining range and mixed volume — characteristic LPSY behavior; 5) June",
ECVT,Distribution,Low,Clean,0,,,
NOMD,Accumulation,Low,Mixed,0,,,
DOLE,Accumulation,Low,Mixed,0,"BC(2026-02-04/06,16.505,vol:1426100); AR_DOWN(2026-02-09,15.775); UTAD_FAILURE(2026-02-25,14.44,vol:1348100); LPSY(2026-02-",,
TWO,Accumulation,Low,Mixed,0,,,
AVNS,Transitional,Medium,Mixed,0,,,
SMPL,Accumulation,Low,Mixed,0,,,
